step,type,amount,nameOrig,oldbalanceOrg,nameDest,oldbalanceDest,newbalanceOrig,newbalanceDest,isFraud
52,PAYMENT,75260.18,C22062,302563.46,C47999,159891.14,227303.28000000003,235151.32,0
93,PAYMENT,123158.12,C26475,54678.29,C11061,495862.32,0.0,619020.44,0
15,PAYMENT,90241.22,C97535,119847.21,C29645,203207.23,29605.990000000005,293448.45,0
72,PAYMENT,258352.55,C82999,10966.08,C72784,155934.94,0.0,414287.49,0
61,PAYMENT,230348.78,C60408,37060.15,C30271,37174.55,0.0,267523.33,0
21,PAYMENT,164977.3,C82983,12168.56,C56059,76839.26,0.0,241816.56,0
83,PAYMENT,32792.39,C51119,20850.9,C92966,170587.31,0.0,203379.7,0
87,CASH_OUT,46699.83,C82291,49582.4,C60107,187559.55,2882.5699999999997,234259.38,0
75,PAYMENT,53859.57,C69718,15445.21,C89836,379642.2,0.0,433501.77,0
75,CASH_IN,435.0,C83750,51497.13,C18511,116967.51,51062.13,117402.51,0
88,PAYMENT,26279.3,C89567,18268.2,C77132,33378.19,0.0,59657.490000000005,0
24,CASH_OUT,125109.5,C87723,129689.56,C26111,148814.2,4580.059999999998,273923.7,0
3,CASH_IN,78611.92,C19399,1024.9,C38487,23467.56,0.0,102079.48,0
22,PAYMENT,316409.87,C29971,182896.71,C10495,114315.26,0.0,430725.13,0
53,CASH_OUT,2959.0,C88606,45514.71,C30244,132621.33,42555.71,135580.33,0
2,TRANSFER,47528.11,C32682,138615.19,C92150,57996.31,91087.08,105524.42,0
88,CASH_IN,122851.78,C24586,96964.82,C24751,31392.42,0.0,154244.2,0
30,CASH_OUT,14352.46,C16191,21274.78,C40261,2145.08,6922.32,16497.54,0
38,PAYMENT,69239.18,C87336,673768.74,C96489,2132.41,604529.56,71371.59,0
2,CASH_OUT,1597.9,C90553,108268.34,C44794,162298.84,106670.44,163896.74,0
64,CASH_OUT,19863.81,C99532,179633.2,C83935,159374.57,159769.39,179238.38,0
60,PAYMENT,278367.59,C88347,329469.93,C65758,700850.13,51102.33999999997,979217.72,0
21,CASH_OUT,91462.28,C72466,36514.23,C73087,47782.92,0.0,139245.2,0
33,CASH_OUT,142391.49,C33787,56230.04,C10133,53213.88,0.0,195605.37,0
76,PAYMENT,10778.69,C66596,8131.96,C22128,354874.31,0.0,365653.0,0
58,CASH_IN,26734.48,C88746,48985.22,C47006,887513.68,22250.74,914248.16,0
22,TRANSFER,21309.32,C45224,187190.6,C52816,106038.14,165881.28,127347.45999999999,0
89,CASH_OUT,32125.08,C76295,251746.44,C59369,25167.66,219621.36,57292.740000000005,0
49,TRANSFER,29883.01,C47238,24575.58,C92614,209845.33,0.0,239728.34,0
91,CASH_IN,82903.51,C97196,119764.11,C57136,15287.58,36860.600000000006,98191.09,0
59,CASH_OUT,122311.65,C38634,10009.52,C39662,354503.84,0.0,476815.49,0
42,CASH_OUT,79504.26,C23997,181342.94,C92225,87309.0,101838.68000000001,166813.26,0
92,DEBIT,35531.94,C64110,5548.34,C47044,283477.67,0.0,319009.61,0
60,PAYMENT,118684.18,C89658,262084.72,C90581,487809.53,143400.54,606493.71,0
80,PAYMENT,80268.39,C86877,45374.67,C19520,298202.1,0.0,378470.49,0
15,CASH_OUT,101760.11,C40923,316742.29,C84052,5821.6,214982.18,107581.71,0
62,TRANSFER,23771.84,C51541,54363.9,C24600,364299.99,30592.06,388071.83,0
62,TRANSFER,320978.39,C66247,45531.11,C12425,63256.78,0.0,384235.17000000004,0
47,CASH_OUT,39711.54,C49246,41225.59,C59066,73657.83,1514.0499999999956,113369.37,0
62,CASH_OUT,46154.81,C19911,75100.85,C26791,114612.73,28946.040000000008,160767.53999999998,0
51,TRANSFER,77763.09,C40222,138467.18,C26726,87084.04,60704.09,164847.13,0
55,CASH_IN,5096.91,C77253,63430.83,C33430,172196.64,58333.92,177293.55000000002,0
64,CASH_OUT,21216.32,C41150,11098.82,C11203,673450.31,0.0,694666.63,0
